id,bp_loc_id,count_id,description,temperature,sky,count_type,town,from_st_name,from_st_dir,to_st_name,to_st_dir,count_date,count_dow,cnt_0630,cnt_0645,cnt_0700,cnt_0715,cnt_0730,cnt_0745,cnt_0800,cnt_0815,cnt_0830,cnt_0845,cnt_0900,cnt_0915,cnt_0930,cnt_0945,cnt_1000,cnt_1015,cnt_1030,cnt_1045,cnt_1100,cnt_1115,cnt_1130,cnt_1145,cnt_1200,cnt_1215,cnt_1230,cnt_1245,cnt_1300,cnt_1315,cnt_1330,cnt_1345,cnt_1400,cnt_1415,cnt_1430,cnt_1445,cnt_1500,cnt_1515,cnt_1530,cnt_1545,cnt_1600,cnt_1615,cnt_1630,cnt_1645,cnt_1700,cnt_1715,cnt_1730,cnt_1745,cnt_1800,cnt_1815,cnt_1830,cnt_1845,cnt_1900,cnt_1915,cnt_1930,cnt_1945,cnt_2000,cnt_2015,cnt_2030,cnt_2045,cnt_total
9688,20250,20333,extracted from hourly automated vehicle counts,,-99,B,Boston,Longwood Avenue,EB,Longwood Avenue,EB,9/27/2016 0:00,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3
9689,20250,20334,extracted from hourly automated vehicle counts,,-99,B,Boston,Longwood Avenue,EB,Longwood Avenue,EB,9/27/2016 0:00,Tue,2,2,5,5,5,6,4,5,5,5,6,6,6,6,7,7,7,8,11,11,11,12,11,11,11,11,7,7,7,7,8,8,8,8,6,6,6,6,5,5,5,6,4,4,4,4,2,2,3,3,4,4,4,5,2,3,3,3,345
9690,20250,20335,extracted from hourly automated vehicle counts,,-99,B,Boston,Longwood Avenue,EB,Longwood Avenue,EB,9/27/2016 0:00,Tue,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,7,7,7,8,12,12,13,13,31,31,32,32,21,21,21,22,16,16,16,16,11,12,12,12,476
9691,20250,20335,extracted from hourly automated vehicle counts,,-99,B,Boston,Longwood Avenue,EB,Longwood Avenue,EB,9/27/2016 0:00,Tue,4,4,11,11,11,11,29,29,29,30,32,32,32,32,16,16,16,16,8,9,9,9,4,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,2,2,3,3,4,4,4,5,5,5,5,5,2,3,3,3,2,2,3,3,529
9692,20217,20336,extracted from hourly automated vehicle counts,,-99,B,Boston,Brookline Avenue,EB,Brookline Avenue,EB,9/27/2016 0:00,Tue,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,5,3,3,4,4,3,3,3,4,92
9693,20217,20336,extracted from hourly automated vehicle counts,,-99,B,Boston,Brookline Avenue,EB,Brookline Avenue,EB,9/27/2016 0:00,Tue,2,2,4,4,4,4,8,8,8,8,7,7,7,7,1,1,1,2,1,1,1,2,1,1,2,2,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,2,2,0,0,1,1,0,0,1,1,0,0,0,0,116
9694,20251,20337,extracted from hourly automated vehicle counts,,-99,B,Boston,Blue Hills Avenue,EB,Blue Hills Avenue,EB,9/27/2016 0:00,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,2,2,2,2,1,1,1,1,0,0,1,1,26
9695,20251,20337,extracted from hourly automated vehicle counts,,-99,B,Boston,Blue Hills Avenue,EB,Blue Hills Avenue,EB,9/27/2016 0:00,Tue,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,0,0,1,1,19
9696,20252,20338,extracted from hourly automated vehicle counts,,-99,B,Boston,South Huntingdon Avenue,EB,South Huntingdon Avenue,EB,9/27/2016 0:00,Tue,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,1,2,2,2,5,5,5,5,3,3,4,4,2,2,2,2,2,2,2,2,88
9697,20252,20338,extracted from hourly automated vehicle counts,,-99,B,Boston,South Huntingdon Avenue,EB,South Huntingdon Avenue,EB,9/27/2016 0:00,Tue,0,1,2,3,3,3,2,2,2,3,3,3,4,4,2,2,3,3,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,102
9698,20219,20339,extracted from hourly automated vehicle counts,,-99,B,Boston,Washington Street,EB,Washington Street,EB,9/27/2016 0:00,Tue,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,2,0,0,0,0,1,2,2,2,3,3,4,4,1,1,2,2,0,0,0,1,47
9699,20219,20339,extracted from hourly automated vehicle counts,,-99,B,Boston,Washington Street,EB,Washington Street,EB,9/27/2016 0:00,Tue,0,0,3,3,4,4,3,4,4,4,2,2,2,2,2,2,2,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,0,1,1,1,0,0,1,1,0,0,0,0,82
